w,y
10,10
70,76
59,18
32,51
20,71
70,99
94,44
11,72
32,75
96,34
38,11
25,38
94,82
77,65
7,7
3,63
11,45
92,56
81,32
69,8
72,87
65,96
71,20
90,73
42,59
22,8
90,14
18,84
77,7
95,33
41,47
51,55
93,10
43,22
71,83
45,59
29,36
86,43
88,29
71,37
17,36
46,93
8,98
38,68
50,15
66,97
1,8
85,27
9,33
89,22
20,26
12,10
73,5
31,30
52,46
47,52
45,19
2,26
60,92
92,29
47,64
92,9
70,60
10,61
96,42
39,48
5,40
64,73
27,22
93,41
9,69
34,6
9,26
66,16
87,51
76,1
71,31
87,22
14,23
28,86
80,9
91,26
49,29
44,16
25,15
64,85
72,44
80,26
39,23
29,6
41,75
6,85
40,2
62,86
84,66
91,57
29,86
94,68
60,60
81,5
35,60
24,64
13,59
91,32
3,41
88,22
89,7
27,57
34,44
16,43
53,48
80,15
98,67
10,71
67,16
80,57
49,52
60,28
6,13
40,63
83,29
90,66
89,96
81,95
9,85
91,31
49,68
6,56
99,69
43,31
9,31
93,2
15,43
6,26
77,54
97,21
11,38
57,31
3,13
30,1
87,45
55,93
99,3
74,56
34,30
94,13
3,46
94,25
67,22
97,4
97,71
50,79
22,60
74,87
72,65
20,66
98,89
88,20
16,11
92,45
82,46
31,21
32,89
54,54
2,55
61,71
19,82
8,27
79,73
14,20
67,50
80,95
53,46
71,94
3,82
47,38
68,83
16,11
34,30
76,47
98,59
54,30
55,94
59,64
35,75
76,67
22,84
95,85
92,2
87,70
31,37
91,16
45,89
43,10
22,30
65,64
89,65
67,25
91,87
56,69
