w,y
18,8
18,38
41,34
57,16
19,39
80,37
75,11
42,51
52,22
58,80
63,26
32,46
24,80
69,89
56,86
82,55
65,61
80,15
64,57
81,18
79,2
34,43
14,25
49,88
27,32
82,42
10,87
24,60
40,80
33,47
52,62
87,17
58,49
69,11
85,83
29,22
40,42
83,46
34,3
15,51
61,61
36,35
3,6
33,67
18,94
94,39
19,6
72,3
85,13
54,2
9,1
31,20
83,72
23,91
59,93
21,53
75,77
41,40
52,51
50,33
36,14
78,12
63,35
37,23
42,69
34,34
37,77
39,56
58,56
70,86
9,91
45,50
74,57
41,72
47,70
61,85
4,66
14,65
99,20
29,61
12,4
66,82
69,3
2,9
97,69
70,80
4,68
93,12
17,45
18,72
50,85
76,90
60,56
46,91
7,32
4,67
19,14
57,11
13,2
90,93
1,51
29,18
7,19
18,27
43,13
90,41
62,58
7,76
60,17
16,2
34,40
43,13
59,52
21,37
86,98
96,72
95,56
34,51
26,49
31,15
59,22
84,43
91,28
81,48
63,8
71,30
45,74
94,73
14,20
8,84
4,33
77,3
78,78
87,49
85,27
41,34
80,61
1,67
55,79
91,58
72,8
73,74
92,46
57,91
78,89
93,48
35,73
70,53
54,6
19,83
68,53
76,95
28,88
82,78
60,50
96,1
2,19
14,92
26,5
86,1
40,3
34,68
57,94
65,40
14,24
98,70
84,80
9,41
32,67
70,71
68,35
29,93
87,44
65,42
20,36
40,13
17,80
28,6
42,31
70,21
20,14
17,6
93,51
97,74
98,41
64,90
92,22
38,38
75,68
65,31
91,56
80,98
89,39
86,34
24,9
27,59
21,63
4,71
27,92
49,47
