w,y
83,60
11,21
16,8
72,82
75,59
42,63
82,62
11,59
29,89
93,96
63,30
93,7
35,13
62,54
23,86
99,89
48,57
41,66
35,65
92,29
74,50
77,27
46,61
38,37
35,81
19,47
22,24
81,82
47,6
30,17
98,91
46,9
85,50
40,51
68,32
48,92
95,49
58,63
42,38
92,82
78,10
58,64
14,36
89,6
42,10
50,63
8,22
73,86
90,52
5,85
86,7
43,38
30,68
38,18
28,86
40,93
31,3
11,72
64,6
6,27
4,6
40,30
96,80
30,23
5,78
92,64
98,74
60,21
53,54
47,78
33,77
44,1
4,72
98,49
97,80
21,7
9,68
17,61
1,52
28,58
13,61
91,6
91,81
23,68
21,2
93,4
1,57
41,78
43,40
51,61
83,84
79,12
2,46
83,39
55,58
35,73
20,75
40,71
62,91
74,16
