J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20
12,26,41,25,10,58,78,11,7,92,4,66,55,53,15,28,14,17,54,84
14,37,74,29,84,14,0,41,23,36,41,32,15,30,95,83,24,82,43,29
85,49,27,18,63,94,42,9,7,94,63,47,54,66,97,18,88,91,93,66
58,41,32,26,61,31,39,65,84,45,75,65,65,15,12,67,1,11,91,60
1,96,41,41,67,25,60,63,84,7,22,69,60,57,83,96,40,13,13,41
58,96,71,80,28,78,8,43,87,41,12,21,6,92,66,28,12,82,48,89
36,26,19,4,96,44,73,50,37,48,71,41,81,41,25,59,81,66,40,44
25,93,53,61,32,15,74,61,73,11,73,30,41,51,90,75,59,70,76,14
61,71,64,11,27,3,97,35,58,63,16,90,51,19,33,90,80,7,15,19
50,61,76,94,98,80,67,60,59,96,22,99,97,62,12,88,83,95,26,22
65,84,64,0,64,95,97,56,42,17,36,63,72,92,35,93,26,63,11,51
84,78,68,28,57,13,21,36,35,92,83,79,3,0,87,59,44,23,82,77
33,92,84,99,72,99,95,40,2,7,67,43,84,7,77,56,19,85,5,11
27,98,90,84,28,34,33,71,73,89,99,53,25,0,72,80,5,92,50,5
13,5,2,83,59,60,57,78,53,47,38,68,27,82,76,40,9,55,97,63
65,22,50,96,69,39,39,82,50,94,72,36,45,32,34,22,90,85,95,10
25,64,41,32,54,68,29,6,61,16,66,63,49,37,94,26,63,63,61,97
60,15,16,11,90,13,95,1,17,95,66,67,5,88,86,71,84,30,48,55
15,27,76,58,79,12,2,54,43,96,13,16,89,67,68,59,16,52,17,99
79,67,86,53,29,74,17,51,35,25,37,93,65,9,27,98,9,58,74,2
